attribute_index,attribute_id,raw_attribute_name,attribute_phrase,attribute_prompt,clip_readable_subset,condition,visible,positive,negative,positive_prevalence,pair_count,ranking_accuracy,precision_at_1,precision_at_5,precision_at_10
0,1,has_bill_shape::curved_(up_or_down),curved up or down bill,a photo of a bird with curved up or down bill.,False,native_source,5670,119,5551,0.020987654320987655,660569,0.433277977016784,0.0,0.0,0.0
1,2,has_bill_shape::dagger,dagger bill,a photo of a bird with dagger bill.,True,native_source,5670,786,4884,0.13862433862433862,3838824,0.5697780101406056,0.0,0.4,0.2
2,3,has_bill_shape::hooked,hooked bill,a photo of a bird with hooked bill.,True,native_source,5670,95,5575,0.01675485008818342,529625,0.5136426717016758,0.0,0.0,0.0
3,4,has_bill_shape::needle,needle bill,a photo of a bird with needle bill.,True,native_source,5670,149,5521,0.026278659611992945,822629,0.5934813871137535,0.0,0.0,0.0
4,5,has_bill_shape::hooked_seabird,hooked seabird bill,a photo of a bird with hooked seabird bill.,False,native_source,5670,373,5297,0.06578483245149912,1975781,0.8869505274116919,0.0,0.2,0.2
5,6,has_bill_shape::spatulate,spatulate bill,a photo of a bird with spatulate bill.,False,native_source,5670,224,5446,0.03950617283950617,1219904,0.2701220751796863,0.0,0.2,0.1
6,7,has_bill_shape::all-purpose,all purpose bill,a photo of a bird with all purpose bill.,False,native_source,5670,2337,3333,0.4121693121693122,7789221,0.5302880737367703,1.0,0.2,0.2
7,8,has_bill_shape::cone,cone bill,a photo of a bird with cone bill.,True,native_source,5670,1468,4202,0.2589065255731922,6168536,0.560085083397422,0.0,0.2,0.2
8,9,has_bill_shape::specialized,specialized bill,a photo of a bird with specialized bill.,False,native_source,5670,119,5551,0.020987654320987655,660569,0.3820092980445646,1.0,0.2,0.1
9,10,has_wing_color::blue,blue wing,a photo of a bird with blue wing.,True,native_source,5349,296,5053,0.05533744625163582,1495688,0.8886010986248469,1.0,0.8,0.8
10,11,has_wing_color::brown,brown wing,a photo of a bird with brown wing.,True,native_source,5349,1557,3792,0.29108244531688166,5904144,0.6559814598017935,0.0,0.6,0.5
11,12,has_wing_color::iridescent,iridescent wing,a photo of a bird with iridescent wing.,False,native_source,5349,112,5237,0.020938493176294634,586544,0.6892901470307428,0.0,0.2,0.1
12,13,has_wing_color::purple,purple wing,a photo of a bird with purple wing.,False,native_source,5349,26,5323,0.004860721630211255,138398,0.6752770993800489,0.0,0.0,0.1
13,14,has_wing_color::rufous,rufous wing,a photo of a bird with rufous wing.,False,native_source,5349,69,5280,0.012899607403252944,364320,0.7998572683355292,0.0,0.0,0.0
14,15,has_wing_color::grey,grey wing,a photo of a bird with grey wing.,True,native_source,5349,1768,3581,0.3305290708543653,6331208,0.5915353752396068,1.0,0.8,0.6
15,16,has_wing_color::yellow,yellow wing,a photo of a bird with yellow wing.,True,native_source,5349,546,4803,0.10207515423443635,2622438,0.8226432807944363,0.0,0.8,0.5
16,17,has_wing_color::olive,olive wing,a photo of a bird with olive wing.,False,native_source,5349,210,5139,0.03925967470555244,1079190,0.5864157377292228,0.0,0.0,0.0
17,18,has_wing_color::green,green wing,a photo of a bird with green wing.,False,native_source,5349,95,5254,0.0177603290334642,499130,0.6609240077735259,1.0,0.2,0.1
18,19,has_wing_color::pink,pink wing,a photo of a bird with pink wing.,False,native_source,5349,25,5324,0.004673770798280052,133100,0.5564913598797896,0.0,0.0,0.1
19,20,has_wing_color::orange,orange wing,a photo of a bird with orange wing.,False,native_source,5349,144,5205,0.0269209197980931,749520,0.7376107375386914,1.0,0.8,0.6
20,21,has_wing_color::black,black wing,a photo of a bird with black wing.,True,native_source,5349,2461,2888,0.46008599738268835,7107368,0.615980838476353,1.0,0.8,0.9
21,22,has_wing_color::white,white wing,a photo of a bird with white wing.,True,native_source,5349,1510,3839,0.28229575621611513,5796890,0.6027235293407327,1.0,0.4,0.4
22,23,has_wing_color::red,red wing,a photo of a bird with red wing.,True,native_source,5349,122,5227,0.022808001495606654,637694,0.7664114763507263,1.0,0.2,0.1
23,24,has_wing_color::buff,buff wing,a photo of a bird with buff wing.,False,native_source,5349,1058,4291,0.19779398018321181,4539878,0.5034235501482639,1.0,0.8,0.5
24,25,has_upperparts_color::blue,blue upperparts,a photo of a bird with blue upperparts.,False,native_source,5050,301,4749,0.0596039603960396,1429449,0.8733309128202545,1.0,1.0,0.9
25,26,has_upperparts_color::brown,brown upperparts,a photo of a bird with brown upperparts.,False,native_source,5050,1383,3667,0.2738613861386139,5071461,0.6277237466678735,1.0,0.4,0.5
26,27,has_upperparts_color::iridescent,iridescent upperparts,a photo of a bird with iridescent upperparts.,False,native_source,5050,149,4901,0.029504950495049503,730249,0.6055386587314738,0.0,0.2,0.1
