condition,k,attribute_index,rare,query_positives,recall_at_k
native_target,1,2,True,95,0.07368421052631578
native_target,1,12,True,26,0.0
native_target,1,13,True,69,0.057971014492753624
native_target,1,18,True,25,0.0
native_target,1,27,True,31,0.0
native_target,1,28,True,70,0.07142857142857142
native_target,1,33,True,28,0.0
native_target,1,41,True,92,0.043478260869565216
native_target,1,42,True,24,0.08333333333333333
native_target,1,43,True,88,0.14772727272727273
native_target,1,47,True,81,0.13580246913580246
native_target,1,48,True,24,0.041666666666666664
native_target,1,61,True,17,0.0
native_target,1,62,True,57,0.017543859649122806
native_target,1,67,True,20,0.0
native_target,1,81,True,63,0.047619047619047616
native_target,1,82,True,16,0.0
native_target,1,83,True,40,0.1
native_target,1,87,True,46,0.06521739130434782
native_target,1,88,True,29,0.0
native_target,1,107,True,90,0.06666666666666667
native_target,1,108,True,17,0.0
native_target,1,109,True,77,0.03896103896103896
native_target,1,113,True,63,0.12698412698412698
native_target,1,114,True,25,0.0
native_target,1,122,True,88,0.13636363636363635
native_target,1,123,True,28,0.0
native_target,1,124,True,74,0.10810810810810811
native_target,1,127,True,88,0.17045454545454544
native_target,1,128,True,60,0.16666666666666666
native_target,1,129,True,26,0.19230769230769232
native_target,1,135,True,56,0.25
native_target,1,137,True,10,0.0
native_target,1,138,True,67,0.07462686567164178
native_target,1,141,True,17,0.0
native_target,1,142,True,3,0.0
native_target,1,143,True,23,0.0
native_target,1,144,True,69,0.11594202898550725
native_target,1,148,True,89,0.06741573033707865
native_target,1,155,True,32,0.1875
native_target,1,156,True,88,0.20454545454545456
native_target,1,160,True,53,0.18867924528301888
native_target,1,161,True,24,0.20833333333333334
native_target,1,169,True,65,0.015384615384615385
native_target,1,170,True,18,0.0
native_target,1,171,True,52,0.07692307692307693
native_target,1,175,True,56,0.10714285714285714
native_target,1,176,True,23,0.0
native_target,1,177,True,109,0.2018348623853211
native_target,1,185,True,34,0.17647058823529413
native_target,1,186,True,80,0.1875
native_target,1,190,True,80,0.15
native_target,1,191,True,33,0.030303030303030304
native_target,1,199,True,81,0.04938271604938271
native_target,1,200,True,19,0.10526315789473684
native_target,1,201,True,79,0.08860759493670886
native_target,1,205,True,68,0.10294117647058823
native_target,1,206,True,31,0.03225806451612903
native_target,1,224,True,64,0.171875
native_target,1,226,True,26,0.038461538461538464
native_target,1,251,True,44,0.045454545454545456
native_target,1,252,True,107,0.08411214953271028
native_target,1,257,True,45,0.044444444444444446
native_target,1,263,True,77,0.07792207792207792
native_target,1,265,True,22,0.0
native_target,1,266,True,23,0.0
native_target,1,267,True,66,0.07575757575757576
native_target,1,270,True,29,0.0
native_target,1,271,True,7,0.0
native_target,1,280,True,53,0.0
native_target,1,281,True,17,0.0
native_target,1,282,True,81,0.07407407407407407
native_target,1,285,True,34,0.029411764705882353
native_target,1,286,True,14,0.0
native_target,1,287,True,53,0.03773584905660377
native_target,1,296,True,36,0.16666666666666666
native_target,1,301,True,66,0.19696969696969696
native_target,1,302,True,36,0.1388888888888889
native_target,5,2,True,95,0.23157894736842105
native_target,5,12,True,26,0.07692307692307693
native_target,5,13,True,69,0.37681159420289856
native_target,5,18,True,25,0.04
native_target,5,27,True,31,0.03225806451612903
native_target,5,28,True,70,0.35714285714285715
native_target,5,33,True,28,0.10714285714285714
native_target,5,41,True,92,0.2717391304347826
native_target,5,42,True,24,0.125
native_target,5,43,True,88,0.42045454545454547
native_target,5,47,True,81,0.4567901234567901
native_target,5,48,True,24,0.25
native_target,5,61,True,17,0.058823529411764705
native_target,5,62,True,57,0.2807017543859649
native_target,5,67,True,20,0.05
native_target,5,81,True,63,0.1746031746031746
native_target,5,82,True,16,0.0625
native_target,5,83,True,40,0.4
native_target,5,87,True,46,0.2826086956521739
native_target,5,88,True,29,0.0
native_target,5,107,True,90,0.26666666666666666
native_target,5,108,True,17,0.0
native_target,5,109,True,77,0.2857142857142857
native_target,5,113,True,63,0.38095238095238093
native_target,5,114,True,25,0.04
native_target,5,122,True,88,0.38636363636363635
native_target,5,123,True,28,0.07142857142857142
native_target,5,124,True,74,0.5135135135135135
native_target,5,127,True,88,0.4772727272727273
native_target,5,128,True,60,0.43333333333333335
native_target,5,129,True,26,0.3076923076923077
native_target,5,135,True,56,0.35714285714285715
native_target,5,137,True,10,0.0
native_target,5,138,True,67,0.34328358208955223
native_target,5,141,True,17,0.0
native_target,5,142,True,3,0.0
native_target,5,143,True,23,0.0
native_target,5,144,True,69,0.34782608695652173
native_target,5,148,True,89,0.16853932584269662
native_target,5,155,True,32,0.3125
native_target,5,156,True,88,0.5
native_target,5,160,True,53,0.4716981132075472
native_target,5,161,True,24,0.3333333333333333
native_target,5,169,True,65,0.09230769230769231
native_target,5,170,True,18,0.05555555555555555
native_target,5,171,True,52,0.28846153846153844
native_target,5,175,True,56,0.35714285714285715
native_target,5,176,True,23,0.08695652173913043
native_target,5,177,True,109,0.44954128440366975
native_target,5,185,True,34,0.23529411764705882
native_target,5,186,True,80,0.45
native_target,5,190,True,80,0.4
native_target,5,191,True,33,0.15151515151515152
native_target,5,199,True,81,0.2222222222222222
native_target,5,200,True,19,0.21052631578947367
native_target,5,201,True,79,0.379746835443038
native_target,5,205,True,68,0.36764705882352944
native_target,5,206,True,31,0.06451612903225806
native_target,5,224,True,64,0.5
native_target,5,226,True,26,0.07692307692307693
native_target,5,251,True,44,0.11363636363636363
native_target,5,252,True,107,0.45794392523364486
native_target,5,257,True,45,0.2
native_target,5,263,True,77,0.2987012987012987
native_target,5,265,True,22,0.0
native_target,5,266,True,23,0.0
native_target,5,267,True,66,0.15151515151515152
native_target,5,270,True,29,0.034482758620689655
native_target,5,271,True,7,0.0
native_target,5,280,True,53,0.05660377358490566
native_target,5,281,True,17,0.058823529411764705
native_target,5,282,True,81,0.32098765432098764
native_target,5,285,True,34,0.20588235294117646
native_target,5,286,True,14,0.0
native_target,5,287,True,53,0.09433962264150944
native_target,5,296,True,36,0.2222222222222222
native_target,5,301,True,66,0.4393939393939394
native_target,5,302,True,36,0.25
native_target,10,2,True,95,0.3263157894736842
native_target,10,12,True,26,0.07692307692307693
native_target,10,13,True,69,0.5072463768115942
native_target,10,18,True,25,0.08
native_target,10,27,True,31,0.03225806451612903
native_target,10,28,True,70,0.44285714285714284
native_target,10,33,True,28,0.17857142857142858
native_target,10,41,True,92,0.45652173913043476
native_target,10,42,True,24,0.16666666666666666
native_target,10,43,True,88,0.6477272727272727
native_target,10,47,True,81,0.5679012345679012
native_target,10,48,True,24,0.3333333333333333
native_target,10,61,True,17,0.058823529411764705
native_target,10,62,True,57,0.47368421052631576
native_target,10,67,True,20,0.05
native_target,10,81,True,63,0.20634920634920634
native_target,10,82,True,16,0.0625
native_target,10,83,True,40,0.425
native_target,10,87,True,46,0.45652173913043476
native_target,10,88,True,29,0.10344827586206896
native_target,10,107,True,90,0.4666666666666667
native_target,10,108,True,17,0.058823529411764705
native_target,10,109,True,77,0.5064935064935064
native_target,10,113,True,63,0.42857142857142855
native_target,10,114,True,25,0.24
native_target,10,122,True,88,0.5227272727272727
native_target,10,123,True,28,0.10714285714285714
native_target,10,124,True,74,0.6756756756756757
native_target,10,127,True,88,0.5568181818181818
native_target,10,128,True,60,0.5
native_target,10,129,True,26,0.3076923076923077
native_target,10,135,True,56,0.375
native_target,10,137,True,10,0.0
native_target,10,138,True,67,0.5223880597014925
native_target,10,141,True,17,0.058823529411764705
native_target,10,142,True,3,0.0
native_target,10,143,True,23,0.0
native_target,10,144,True,69,0.4492753623188406
native_target,10,148,True,89,0.30337078651685395
native_target,10,155,True,32,0.34375
native_target,10,156,True,88,0.6931818181818182
native_target,10,160,True,53,0.5660377358490566
native_target,10,161,True,24,0.375
native_target,10,169,True,65,0.12307692307692308
native_target,10,170,True,18,0.05555555555555555
native_target,10,171,True,52,0.4423076923076923
native_target,10,175,True,56,0.4642857142857143
native_target,10,176,True,23,0.13043478260869565
native_target,10,177,True,109,0.5504587155963303
native_target,10,185,True,34,0.3235294117647059
native_target,10,186,True,80,0.5625
native_target,10,190,True,80,0.5125
native_target,10,191,True,33,0.24242424242424243
native_target,10,199,True,81,0.38271604938271603
native_target,10,200,True,19,0.21052631578947367
native_target,10,201,True,79,0.569620253164557
native_target,10,205,True,68,0.4852941176470588
native_target,10,206,True,31,0.0967741935483871
native_target,10,224,True,64,0.578125
native_target,10,226,True,26,0.07692307692307693
native_target,10,251,True,44,0.20454545454545456
native_target,10,252,True,107,0.6355140186915887
native_target,10,257,True,45,0.3111111111111111
native_target,10,263,True,77,0.4805194805194805
native_target,10,265,True,22,0.0
native_target,10,266,True,23,0.0
native_target,10,267,True,66,0.30303030303030304
native_target,10,270,True,29,0.06896551724137931
native_target,10,271,True,7,0.0
native_target,10,280,True,53,0.11320754716981132
native_target,10,281,True,17,0.058823529411764705
native_target,10,282,True,81,0.49382716049382713
native_target,10,285,True,34,0.2647058823529412
native_target,10,286,True,14,0.0
native_target,10,287,True,53,0.24528301886792453
native_target,10,296,True,36,0.25
native_target,10,301,True,66,0.4696969696969697
native_target,10,302,True,36,0.25
oxford_aligned_source,1,2,True,95,0.09473684210526316
oxford_aligned_source,1,12,True,26,0.0
oxford_aligned_source,1,13,True,69,0.17391304347826086
oxford_aligned_source,1,18,True,25,0.0
oxford_aligned_source,1,27,True,31,0.0
oxford_aligned_source,1,28,True,70,0.14285714285714285
oxford_aligned_source,1,33,True,28,0.0
oxford_aligned_source,1,41,True,92,0.07608695652173914
oxford_aligned_source,1,42,True,24,0.041666666666666664
oxford_aligned_source,1,43,True,88,0.14772727272727273
oxford_aligned_source,1,47,True,81,0.16049382716049382
oxford_aligned_source,1,48,True,24,0.0
oxford_aligned_source,1,61,True,17,0.0
oxford_aligned_source,1,62,True,57,0.10526315789473684
oxford_aligned_source,1,67,True,20,0.05
oxford_aligned_source,1,81,True,63,0.031746031746031744
oxford_aligned_source,1,82,True,16,0.0
oxford_aligned_source,1,83,True,40,0.1
oxford_aligned_source,1,87,True,46,0.021739130434782608
oxford_aligned_source,1,88,True,29,0.0
oxford_aligned_source,1,107,True,90,0.08888888888888889
oxford_aligned_source,1,108,True,17,0.0
oxford_aligned_source,1,109,True,77,0.06493506493506493
oxford_aligned_source,1,113,True,63,0.14285714285714285
oxford_aligned_source,1,114,True,25,0.04
oxford_aligned_source,1,122,True,88,0.11363636363636363
oxford_aligned_source,1,123,True,28,0.03571428571428571
oxford_aligned_source,1,124,True,74,0.0945945945945946
oxford_aligned_source,1,127,True,88,0.14772727272727273
oxford_aligned_source,1,128,True,60,0.26666666666666666
oxford_aligned_source,1,129,True,26,0.2692307692307692
oxford_aligned_source,1,135,True,56,0.17857142857142858
oxford_aligned_source,1,137,True,10,0.0
oxford_aligned_source,1,138,True,67,0.1044776119402985
oxford_aligned_source,1,141,True,17,0.058823529411764705
oxford_aligned_source,1,142,True,3,0.0
oxford_aligned_source,1,143,True,23,0.0
oxford_aligned_source,1,144,True,69,0.17391304347826086
oxford_aligned_source,1,148,True,89,0.06741573033707865
oxford_aligned_source,1,155,True,32,0.21875
oxford_aligned_source,1,156,True,88,0.20454545454545456
oxford_aligned_source,1,160,True,53,0.2641509433962264
oxford_aligned_source,1,161,True,24,0.2916666666666667
oxford_aligned_source,1,169,True,65,0.03076923076923077
oxford_aligned_source,1,170,True,18,0.0
oxford_aligned_source,1,171,True,52,0.11538461538461539
oxford_aligned_source,1,175,True,56,0.07142857142857142
oxford_aligned_source,1,176,True,23,0.0
oxford_aligned_source,1,177,True,109,0.1651376146788991
oxford_aligned_source,1,185,True,34,0.11764705882352941
oxford_aligned_source,1,186,True,80,0.1625
oxford_aligned_source,1,190,True,80,0.175
oxford_aligned_source,1,191,True,33,0.0
oxford_aligned_source,1,199,True,81,0.07407407407407407
oxford_aligned_source,1,200,True,19,0.10526315789473684
oxford_aligned_source,1,201,True,79,0.16455696202531644
oxford_aligned_source,1,205,True,68,0.11764705882352941
oxford_aligned_source,1,206,True,31,0.0
oxford_aligned_source,1,224,True,64,0.171875
oxford_aligned_source,1,226,True,26,0.0
oxford_aligned_source,1,251,True,44,0.045454545454545456
oxford_aligned_source,1,252,True,107,0.17757009345794392
oxford_aligned_source,1,257,True,45,0.06666666666666667
oxford_aligned_source,1,263,True,77,0.05194805194805195
oxford_aligned_source,1,265,True,22,0.0
oxford_aligned_source,1,266,True,23,0.0
oxford_aligned_source,1,267,True,66,0.07575757575757576
oxford_aligned_source,1,270,True,29,0.0
oxford_aligned_source,1,271,True,7,0.0
oxford_aligned_source,1,280,True,53,0.018867924528301886
oxford_aligned_source,1,281,True,17,0.0
oxford_aligned_source,1,282,True,81,0.09876543209876543
oxford_aligned_source,1,285,True,34,0.08823529411764706
oxford_aligned_source,1,286,True,14,0.0
oxford_aligned_source,1,287,True,53,0.05660377358490566
oxford_aligned_source,1,296,True,36,0.16666666666666666
oxford_aligned_source,1,301,True,66,0.3181818181818182
oxford_aligned_source,1,302,True,36,0.19444444444444445
oxford_aligned_source,5,2,True,95,0.24210526315789474
oxford_aligned_source,5,12,True,26,0.07692307692307693
oxford_aligned_source,5,13,True,69,0.42028985507246375
oxford_aligned_source,5,18,True,25,0.0
oxford_aligned_source,5,27,True,31,0.03225806451612903
oxford_aligned_source,5,28,True,70,0.34285714285714286
oxford_aligned_source,5,33,True,28,0.10714285714285714
oxford_aligned_source,5,41,True,92,0.32608695652173914
oxford_aligned_source,5,42,True,24,0.125
oxford_aligned_source,5,43,True,88,0.4431818181818182
oxford_aligned_source,5,47,True,81,0.4567901234567901
oxford_aligned_source,5,48,True,24,0.125
oxford_aligned_source,5,61,True,17,0.058823529411764705
oxford_aligned_source,5,62,True,57,0.2807017543859649
oxford_aligned_source,5,67,True,20,0.05
oxford_aligned_source,5,81,True,63,0.20634920634920634
oxford_aligned_source,5,82,True,16,0.0
oxford_aligned_source,5,83,True,40,0.4
