condition,k,attribute_index,rare,query_positives,recall_at_k
native_target,1,2,True,95,0.09473684210526316
native_target,1,12,True,26,0.0
native_target,1,13,True,69,0.11594202898550725
native_target,1,18,True,25,0.0
native_target,1,27,True,31,0.0
native_target,1,28,True,70,0.11428571428571428
native_target,1,33,True,28,0.0
native_target,1,41,True,92,0.08695652173913043
native_target,1,42,True,24,0.08333333333333333
native_target,1,43,True,88,0.09090909090909091
native_target,1,47,True,81,0.1728395061728395
native_target,1,48,True,24,0.041666666666666664
native_target,1,61,True,17,0.0
native_target,1,62,True,57,0.05263157894736842
native_target,1,67,True,20,0.0
native_target,1,81,True,63,0.015873015873015872
native_target,1,82,True,16,0.0
native_target,1,83,True,40,0.175
native_target,1,87,True,46,0.043478260869565216
native_target,1,88,True,29,0.0
native_target,1,107,True,90,0.12222222222222222
native_target,1,108,True,17,0.0
native_target,1,109,True,77,0.05194805194805195
native_target,1,113,True,63,0.1746031746031746
native_target,1,114,True,25,0.0
native_target,1,122,True,88,0.11363636363636363
native_target,1,123,True,28,0.03571428571428571
native_target,1,124,True,74,0.08108108108108109
native_target,1,127,True,88,0.17045454545454544
native_target,1,128,True,60,0.15
native_target,1,129,True,26,0.07692307692307693
native_target,1,135,True,56,0.17857142857142858
native_target,1,137,True,10,0.0
native_target,1,138,True,67,0.04477611940298507
native_target,1,141,True,17,0.0
native_target,1,142,True,3,0.0
native_target,1,143,True,23,0.0
native_target,1,144,True,69,0.13043478260869565
native_target,1,148,True,89,0.0898876404494382
native_target,1,155,True,32,0.21875
native_target,1,156,True,88,0.14772727272727273
native_target,1,160,True,53,0.16981132075471697
native_target,1,161,True,24,0.08333333333333333
native_target,1,169,True,65,0.0
native_target,1,170,True,18,0.0
native_target,1,171,True,52,0.11538461538461539
native_target,1,175,True,56,0.017857142857142856
native_target,1,176,True,23,0.0
native_target,1,177,True,109,0.13761467889908258
native_target,1,185,True,34,0.17647058823529413
native_target,1,186,True,80,0.1375
native_target,1,190,True,80,0.125
native_target,1,191,True,33,0.0
native_target,1,199,True,81,0.12345679012345678
native_target,1,200,True,19,0.10526315789473684
native_target,1,201,True,79,0.0759493670886076
native_target,1,205,True,68,0.11764705882352941
native_target,1,206,True,31,0.03225806451612903
native_target,1,224,True,64,0.0625
native_target,1,226,True,26,0.038461538461538464
native_target,1,251,True,44,0.06818181818181818
native_target,1,252,True,107,0.11214953271028037
native_target,1,257,True,45,0.022222222222222223
native_target,1,263,True,77,0.03896103896103896
native_target,1,265,True,22,0.0
native_target,1,266,True,23,0.0
native_target,1,267,True,66,0.015151515151515152
native_target,1,270,True,29,0.0
native_target,1,271,True,7,0.0
native_target,1,280,True,53,0.018867924528301886
native_target,1,281,True,17,0.0
native_target,1,282,True,81,0.1111111111111111
native_target,1,285,True,34,0.058823529411764705
native_target,1,286,True,14,0.0
native_target,1,287,True,53,0.03773584905660377
native_target,1,296,True,36,0.19444444444444445
native_target,1,301,True,66,0.16666666666666666
native_target,1,302,True,36,0.05555555555555555
native_target,5,2,True,95,0.3263157894736842
native_target,5,12,True,26,0.038461538461538464
native_target,5,13,True,69,0.391304347826087
native_target,5,18,True,25,0.0
native_target,5,27,True,31,0.0
native_target,5,28,True,70,0.32857142857142857
native_target,5,33,True,28,0.03571428571428571
native_target,5,41,True,92,0.31521739130434784
