attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
0,has_bill_shape::curved_(up_or_down),has_bill_shape,True,5670,119,5551,0.08557393820712886,0.090306675159584,0.025358662397904585,0.08502674877973745,0.004732736952455144
1,has_bill_shape::dagger,has_bill_shape,True,5670,786,4884,0.4623420629401439,0.4582613993807727,0.12493841069691447,0.4679172676654306,-0.0040806635593712
2,has_bill_shape::hooked,has_bill_shape,True,5670,95,5575,0.0710910575577319,0.0674013950719021,0.03703065837178648,0.06562617193670732,-0.0036896624858298033
3,has_bill_shape::needle,has_bill_shape,True,5670,149,5521,0.6133454609350493,0.6056535566615946,0.024007929288274266,0.623404090100354,-0.007691904273454675
4,has_bill_shape::hooked_seabird,has_bill_shape,True,5670,373,5297,0.5428645074428211,0.5132931521995024,0.0951653245951191,0.5317210500082669,-0.029571355243318664
5,has_bill_shape::spatulate,has_bill_shape,True,5670,224,5446,0.4941198053471946,0.5279474581015067,0.06616277489946583,0.5205392040791761,0.0338276527543121
6,has_bill_shape::all-purpose,has_bill_shape,True,5670,2337,3333,0.6765908799566945,0.6708168311251979,0.3886275564705223,0.6748081666086261,-0.005774048831496681
7,has_bill_shape::cone,has_bill_shape,True,5670,1468,4202,0.6668802194213068,0.6213868814202825,0.39993991345979046,0.6361584247878201,-0.045493338001024286
8,has_bill_shape::specialized,has_bill_shape,True,5670,119,5551,0.29502708278432666,0.304553833310284,0.016389981147279225,0.3092448188471004,0.009526750525957361
9,has_wing_color::blue,has_wing_color,True,5349,296,5053,0.621276150634517,0.615192066567336,0.04168005841004344,0.6211201217050262,-0.006084084067180973
10,has_wing_color::brown,has_wing_color,True,5349,1557,3792,0.6814407266712597,0.6645756229212412,0.3313301939839081,0.6758807113846544,-0.016865103750018484
11,has_wing_color::iridescent,has_wing_color,True,5349,112,5237,0.10300473318789387,0.08613904029127745,0.019627230767725327,0.0867638007672976,-0.01686569289661642
12,has_wing_color::purple,has_wing_color,True,5349,26,5323,0.03127417282749836,0.014376927000184175,0.005401114220525145,0.0142729089961631,-0.01689724582731418
13,has_wing_color::rufous,has_wing_color,True,5349,69,5280,0.1576114637932862,0.1438314551797824,0.008976888922439495,0.1514516370422987,-0.013780008613503786
14,has_wing_color::grey,has_wing_color,True,5349,1768,3581,0.6026562782004501,0.5747781936549077,0.3310653607475012,0.5910049885743274,-0.027878084545542414
15,has_wing_color::yellow,has_wing_color,True,5349,546,4803,0.5006452965462417,0.5006340518745308,0.21014783552423383,0.5020026748949288,-1.1244671710874954e-05
16,has_wing_color::olive,has_wing_color,True,5349,210,5139,0.2721799865900544,0.26062260475929017,0.03879465439708728,0.27389723746842015,-0.011557381830764213
17,has_wing_color::green,has_wing_color,True,5349,95,5254,0.24993537159117118,0.24577315267302624,0.02308197729221493,0.23498496014229753,-0.004162218918144944
18,has_wing_color::pink,has_wing_color,True,5349,25,5324,0.00796527653620947,0.006393558179481516,0.003676902329379547,0.0063737048425156605,-0.0015717183567279533
19,has_wing_color::orange,has_wing_color,True,5349,144,5205,0.17632065238862804,0.15623298703621405,0.02553421984834625,0.18003143352040127,-0.02008766535241399
20,has_wing_color::black,has_wing_color,True,5349,2461,2888,0.7707847104654109,0.7596065957713171,0.4274818379523643,0.7643740548139024,-0.0111781146940938
21,has_wing_color::white,has_wing_color,True,5349,1510,3839,0.6091208739575206,0.5939803813855171,0.32243161164254464,0.5961941968502034,-0.01514049257200345
22,has_wing_color::red,has_wing_color,True,5349,122,5227,0.30405382707295947,0.3378510922342105,0.025247411138961822,0.34268903387167204,0.03379726516125103
23,has_wing_color::buff,has_wing_color,True,5349,1058,4291,0.5240423862942682,0.4951126514981121,0.25887376381473304,0.5195374196413736,-0.028929734796156126
24,has_upperparts_color::blue,has_upperparts_color,True,5050,301,4749,0.6676192131424846,0.6425666632590668,0.046928641909725066,0.6565808653427492,-0.025052549883417874
25,has_upperparts_color::brown,has_upperparts_color,True,5050,1383,3667,0.6724340232137221,0.6576176338257985,0.35316028437713093,0.6719018849878801,-0.014816389387923623
26,has_upperparts_color::iridescent,has_upperparts_color,True,5050,149,4901,0.10326712913899676,0.0922025455046118,0.02956921420915758,0.10011622185280637,-0.011064583634384964
27,has_upperparts_color::purple,has_upperparts_color,True,5050,31,5019,0.024830943253511102,0.019974422291504253,0.008863583451653275,0.01714773130696024,-0.004856520962006849
28,has_upperparts_color::rufous,has_upperparts_color,True,5050,70,4980,0.137703913505309,0.13567865595790313,0.011812378137780851,0.14433781289012831,-0.002025257547405873
29,has_upperparts_color::grey,has_upperparts_color,True,5050,1711,3339,0.6251360593272584,0.5965567035298134,0.3371357651026619,0.6122643659144391,-0.028579355797444972
30,has_upperparts_color::yellow,has_upperparts_color,True,5050,543,4507,0.563918622334825,0.5725195540212022,0.1515623738544399,0.5627601868185199,0.008600931686377211
31,has_upperparts_color::olive,has_upperparts_color,True,5050,223,4827,0.2752558606821736,0.2776866291398329,0.04405054522226863,0.2739980296336084,0.0024307684576592714
32,has_upperparts_color::green,has_upperparts_color,True,5050,108,4942,0.3061361864723299,0.328666907679099,0.033427278349807216,0.3342944411771999,0.022530721206769133
33,has_upperparts_color::pink,has_upperparts_color,False,5050,28,5022,,,,,
34,has_upperparts_color::orange,has_upperparts_color,True,5050,149,4901,0.18588238084999031,0.18231999781373115,0.03928541278080093,0.21006822658552524,-0.0035623830362591646
35,has_upperparts_color::black,has_upperparts_color,True,5050,2273,2777,0.7659766950880316,0.7590608415213884,0.4224358626165012,0.7615755652393421,-0.006915853566643149
36,has_upperparts_color::white,has_upperparts_color,True,5050,1349,3701,0.5955980348586785,0.5836811090300328,0.32249899953361966,0.587887183688841,-0.011916925828645675
37,has_upperparts_color::red,has_upperparts_color,True,5050,126,4924,0.3881989164975172,0.3915916852677681,0.024202814334033367,0.36396482373501343,0.003392768770250909
38,has_upperparts_color::buff,has_upperparts_color,True,5050,997,4053,0.5359987850420607,0.5187788630633557,0.24533094040487685,0.5430324854776917,-0.017219921978704922
39,has_underparts_color::blue,has_underparts_color,True,5234,174,5060,0.5557885818319719,0.5199660635065478,0.028473188274733642,0.5331596829782222,-0.035822518325424046
40,has_underparts_color::brown,has_underparts_color,True,5234,593,4641,0.4040860892737349,0.36262220895632513,0.12827621824839813,0.3793382967135389,-0.041463880317409774
41,has_underparts_color::iridescent,has_underparts_color,True,5234,92,5142,0.10742678034619513,0.10105606892135306,0.019944795269989157,0.10743521147057826,-0.006370711424842065
42,has_underparts_color::purple,has_underparts_color,False,5234,24,5210,,,,,
43,has_underparts_color::rufous,has_underparts_color,True,5234,88,5146,0.18082584724780085,0.12735231850332313,0.016172594906305033,0.14640697975786887,-0.05347352874447772
44,has_underparts_color::grey,has_underparts_color,True,5234,1081,4153,0.478780642938429,0.46513560560809697,0.23293563927521657,0.47643947437019685,-0.01364503733033201
45,has_underparts_color::yellow,has_underparts_color,True,5234,866,4368,0.8641383167110401,0.8437795588832913,0.19590319160963954,0.8537966876301993,-0.020358757827748875
46,has_underparts_color::olive,has_underparts_color,True,5234,132,5102,0.30231944446514414,0.27673194461794637,0.026658139815164506,0.26434002915247856,-0.02558749984719777
47,has_underparts_color::green,has_underparts_color,True,5234,81,5153,0.18006398541726182,0.19896527969382474,0.02026568624249046,0.19504488348134724,0.018901294276562924
48,has_underparts_color::pink,has_underparts_color,True,5234,24,5210,0.011122631790682444,0.009845817265194257,0.0047189712370921425,0.012372350388146778,-0.001276814525488187
49,has_underparts_color::orange,has_underparts_color,True,5234,189,5045,0.3145638390837449,0.35072566047936504,0.04162488582155157,0.35347659636620193,0.03616182139562013
50,has_underparts_color::black,has_underparts_color,True,5234,1024,4210,0.6683321217385132,0.6756730677361901,0.15549749923438738,0.6733971528456862,0.007340945997676873
51,has_underparts_color::white,has_underparts_color,True,5234,2267,2967,0.7954252548035792,0.7784750402467516,0.43402608453579905,0.7866599353111111,-0.016950214556827548
52,has_underparts_color::red,has_underparts_color,True,5234,211,5023,0.687225315107675,0.6632802055599454,0.034732212755225214,0.6704929373949314,-0.02394510954772966
53,has_underparts_color::buff,has_underparts_color,True,5234,1053,4181,0.5594548026411799,0.5254969212963749,0.2441129717059499,0.539572152210726,-0.03395788134480493
54,has_breast_pattern::solid,has_breast_pattern,True,5265,3154,2111,0.8098766692584025,0.8078036839284966,0.6331446275201443,0.8091201105931104,-0.002072985329905963
55,has_breast_pattern::spotted,has_breast_pattern,True,5265,311,4954,0.28281636070844146,0.28246083804399064,0.06607355354741232,0.28182368724848594,-0.0003555226644508247
