attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
0,has_bill_shape::curved_(up_or_down),has_bill_shape,True,5670,119,5551,0.08557393820712886,0.0763431755482478,0.02535864152668208,0.08502674877973745,-0.009230762658881064
1,has_bill_shape::dagger,has_bill_shape,True,5670,786,4884,0.4623410857039326,0.3875692012763422,0.1249382344217513,0.4679172676654306,-0.07477188442759042
2,has_bill_shape::hooked,has_bill_shape,True,5670,95,5575,0.0710910575577319,0.051348967314153414,0.037030668528876425,0.06562617193670732,-0.019742090243578488
3,has_bill_shape::needle,has_bill_shape,True,5670,149,5521,0.6133454579597485,0.4787105141455948,0.02400790571837579,0.6234040718285726,-0.1346349438141537
4,has_bill_shape::hooked_seabird,has_bill_shape,True,5670,373,5297,0.5428645074428211,0.49300691761168913,0.09516534060054431,0.5317210227427613,-0.049857589831131977
5,has_bill_shape::spatulate,has_bill_shape,True,5670,224,5446,0.4941198053471946,0.46388383976926056,0.06616278714043261,0.5205392149488537,-0.03023596557793401
6,has_bill_shape::all-purpose,has_bill_shape,True,5670,2337,3333,0.6765902397587774,0.6496284506367159,0.3886274012923834,0.6748081439734517,-0.026961789122061486
7,has_bill_shape::cone,has_bill_shape,True,5670,1468,4202,0.6668802194213068,0.5374809316395569,0.39993984658299875,0.6361584938422872,-0.12939928778174992
8,has_bill_shape::specialized,has_bill_shape,True,5670,119,5551,0.29502849828595684,0.17789751507533738,0.0163899875779371,0.3092448188471004,-0.11713098321061946
9,has_wing_color::blue,has_wing_color,True,5349,296,5053,0.6212786504916681,0.5824720038696739,0.04168005841004345,0.6211201217050262,-0.03880664662199418
10,has_wing_color::brown,has_wing_color,True,5349,1557,3792,0.6814401641972869,0.6578501151588124,0.33132971721368726,0.675880531632282,-0.023590049038474503
11,has_wing_color::iridescent,has_wing_color,True,5349,112,5237,0.10300473318789387,0.07378364927930484,0.019627216569702018,0.0867638007672976,-0.029221083908589032
12,has_wing_color::purple,has_wing_color,True,5349,26,5323,0.03127417282749836,0.016527468986907337,0.005401114220525145,0.014272900253533356,-0.01474670384059102
13,has_wing_color::rufous,has_wing_color,True,5349,69,5280,0.1576114637932862,0.157732214983548,0.008976888922439493,0.1514516370422987,0.00012075119026180858
14,has_wing_color::grey,has_wing_color,True,5349,1768,3581,0.6026562681529085,0.5528444956340538,0.33106535455564046,0.5910051012371815,-0.04981177251885471
15,has_wing_color::yellow,has_wing_color,True,5349,546,4803,0.5006452965462417,0.4614069490718088,0.210147682022458,0.502001241234004,-0.03923834747443289
16,has_wing_color::olive,has_wing_color,True,5349,210,5139,0.2721799865900544,0.24104893654837384,0.03879466229170954,0.27389723746842015,-0.03113105004168054
