attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
0,has_bill_shape::curved_(up_or_down),has_bill_shape,True,5670,119,5551,0.07993434423215244,0.13781189280841957,0.03201078393291191,0.16311817045538793,0.05787754857626713
1,has_bill_shape::dagger,has_bill_shape,True,5670,786,4884,0.5254275955554879,0.525678659537719,0.11309536100559119,0.5566879215731941,0.00025106398223107007
2,has_bill_shape::hooked,has_bill_shape,True,5670,95,5575,0.08906727199252476,0.10153713597676914,0.014839128252821774,0.10524930866601907,0.012469863984244378
3,has_bill_shape::needle,has_bill_shape,True,5670,149,5521,0.6237300631300955,0.6309674507351193,0.03295935426237166,0.665663515889903,0.007237387605023793
4,has_bill_shape::hooked_seabird,has_bill_shape,True,5670,373,5297,0.5546435524756331,0.5845086025116141,0.055544064833832785,0.5717418505190771,0.029865050035980945
5,has_bill_shape::spatulate,has_bill_shape,True,5670,224,5446,0.5473154092203231,0.5343605241783933,0.07052331449610433,0.5505709115146549,-0.012954885041929765
6,has_bill_shape::all-purpose,has_bill_shape,True,5670,2337,3333,0.6847496601877545,0.7089674525766804,0.3855990939007779,0.7195782051829699,0.02421779238892585
7,has_bill_shape::cone,has_bill_shape,True,5670,1468,4202,0.6742859566168213,0.7074331281670114,0.2490903997670908,0.7258424897793307,0.03314717155019009
8,has_bill_shape::specialized,has_bill_shape,True,5670,119,5551,0.31523132049988367,0.39777345508932765,0.02239789933972866,0.425046032978008,0.08254213458944398
9,has_wing_color::blue,has_wing_color,True,5349,296,5053,0.6212293422481949,0.6324157415900732,0.0326705537848993,0.6404750147979558,0.011186399341878261
10,has_wing_color::brown,has_wing_color,True,5349,1557,3792,0.6684807603012135,0.6599884794586554,0.2847447429953735,0.6674504601553937,-0.008492280842558153
11,has_wing_color::iridescent,has_wing_color,True,5349,112,5237,0.09335353939753907,0.10900468958100555,0.019619670152673678,0.11002347904131424,0.01565115018346648
12,has_wing_color::purple,has_wing_color,True,5349,26,5323,0.016146923363858905,0.011525271404120506,0.006499554884389423,0.011723879853623762,-0.004621651959738399
13,has_wing_color::rufous,has_wing_color,True,5349,69,5280,0.1588263083395737,0.13050532686282335,0.013547512723589778,0.11217406119331522,-0.028320981476750356
14,has_wing_color::grey,has_wing_color,True,5349,1768,3581,0.5739966397667262,0.5700868423321912,0.407382693587193,0.5927134433405238,-0.003909797434535012
15,has_wing_color::yellow,has_wing_color,True,5349,546,4803,0.5069315573004672,0.47224624187361525,0.0785244617363354,0.5248976579242011,-0.03468531542685199
16,has_wing_color::olive,has_wing_color,True,5349,210,5139,0.2699279631122651,0.26730156738969757,0.05387427991044946,0.27404189198592377,-0.0026263957225675094
17,has_wing_color::green,has_wing_color,True,5349,95,5254,0.26732461944875735,0.2202321322023811,0.01457524633018661,0.2346472835709789,-0.04709248724637624
18,has_wing_color::pink,has_wing_color,True,5349,25,5324,0.004905956182131595,0.006288227982431836,0.004306560658616493,0.008179082130970888,0.001382271800300241
19,has_wing_color::orange,has_wing_color,True,5349,144,5205,0.15095760990490725,0.15967871523748975,0.038570628938734,0.18862086237231498,0.008721105332582496
20,has_wing_color::black,has_wing_color,True,5349,2461,2888,0.7604339963551915,0.7564346170250371,0.4283863093931604,0.7722505945342737,-0.003999379330154373
21,has_wing_color::white,has_wing_color,True,5349,1510,3839,0.5811411228063266,0.6044832941855505,0.2766506387332558,0.6220207588721592,0.023342171379223897
22,has_wing_color::red,has_wing_color,True,5349,122,5227,0.33103325956193425,0.2939859639793959,0.04387446031208715,0.3413072632591415,-0.03704729558253833
23,has_wing_color::buff,has_wing_color,True,5349,1058,4291,0.5121040789594807,0.49177959729062043,0.2077178796775609,0.5217320928036194,-0.020324481668860306
24,has_upperparts_color::blue,has_upperparts_color,True,5050,301,4749,0.6542157123026722,0.6547690677683186,0.03527881939837272,0.658359534811687,0.0005533554656463879
25,has_upperparts_color::brown,has_upperparts_color,True,5050,1383,3667,0.6551812758730721,0.6491710373182565,0.2577997769684384,0.6549706274609788,-0.006010238554815528
26,has_upperparts_color::iridescent,has_upperparts_color,True,5050,149,4901,0.0977071002729723,0.09377709184388819,0.02620966048401579,0.1158248123001551,-0.003930008429084114
27,has_upperparts_color::purple,has_upperparts_color,True,5050,31,5019,0.016522300967340198,0.013455240733906082,0.0044511385791515205,0.01719512081780105,-0.0030670602334341157
28,has_upperparts_color::rufous,has_upperparts_color,True,5050,70,4980,0.15504062262398602,0.11428036048843113,0.015048865571561928,0.10773990475697806,-0.04076026213555489
29,has_upperparts_color::grey,has_upperparts_color,True,5050,1711,3339,0.5919477058329747,0.5868925704989694,0.40905438778551756,0.6066981807474136,-0.005055135334005367
30,has_upperparts_color::yellow,has_upperparts_color,True,5050,543,4507,0.5727239729355789,0.5630281238836579,0.0898723642126179,0.5940631280477986,-0.009695849051921002
31,has_upperparts_color::olive,has_upperparts_color,True,5050,223,4827,0.29405094817465666,0.2868833210123519,0.05750820970931112,0.2983729666393923,-0.007167627162304735
32,has_upperparts_color::green,has_upperparts_color,True,5050,108,4942,0.3363823374676277,0.27524532620040043,0.01968354720799629,0.3291977806411431,-0.06113701126722726
33,has_upperparts_color::pink,has_upperparts_color,False,5050,28,5022,,,,,
34,has_upperparts_color::orange,has_upperparts_color,True,5050,149,4901,0.16723758255676047,0.1874493963357316,0.038575813365644106,0.20609660084025322,0.020211813778971133
35,has_upperparts_color::black,has_upperparts_color,True,5050,2273,2777,0.7551153816597821,0.7465327225751613,0.4034396296145776,0.763494626095558,-0.008582659084620747
36,has_upperparts_color::white,has_upperparts_color,True,5050,1349,3701,0.5700159235370675,0.5901613885910831,0.29137107886293206,0.6089092129026336,0.0201454650540156
37,has_upperparts_color::red,has_upperparts_color,True,5050,126,4924,0.3693252509726242,0.36703643333255653,0.06596380875459726,0.39544285176167393,-0.002288817640067664
38,has_upperparts_color::buff,has_upperparts_color,True,5050,997,4053,0.5203480033544488,0.510848424254866,0.2146187759743839,0.5495082166481726,-0.009499579099582767
39,has_underparts_color::blue,has_underparts_color,True,5234,174,5060,0.5368263288756445,0.5373309426475444,0.026033512620928817,0.5566756825777821,0.00050461377189992
40,has_underparts_color::brown,has_underparts_color,True,5234,593,4641,0.3754864665352396,0.37742488159432214,0.11477924782170615,0.3860081307849328,0.0019384150590825433
41,has_underparts_color::iridescent,has_underparts_color,True,5234,92,5142,0.09182300853084184,0.11798237371283024,0.024728664502555783,0.11417721256314654,0.0261593651819884
42,has_underparts_color::purple,has_underparts_color,False,5234,24,5210,,,,,
43,has_underparts_color::rufous,has_underparts_color,True,5234,88,5146,0.15719839924982734,0.13965815044812513,0.024044162060564245,0.1458285171897558,-0.017540248801702213
44,has_underparts_color::grey,has_underparts_color,True,5234,1081,4153,0.4667696410397394,0.4635161778969672,0.21044280361097467,0.48870225055878463,-0.003253463142772195
45,has_underparts_color::yellow,has_underparts_color,True,5234,866,4368,0.853337979658636,0.8417734373945711,0.11031635550068955,0.8539217275591096,-0.011564542264064892
