attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
0,has_bill_shape::curved_(up_or_down),has_bill_shape,True,5670,119,5551,0.07993434423215244,0.056938972252556806,0.03201078393291191,0.16311817045538793,-0.022995371979595634
1,has_bill_shape::dagger,has_bill_shape,True,5670,786,4884,0.5254277381250374,0.3159370573022788,0.11309531606960695,0.556688244269191,-0.20949068082275862
2,has_bill_shape::hooked,has_bill_shape,True,5670,95,5575,0.08906727199252476,0.05963361774906312,0.014839128252821774,0.10524931777450224,-0.029433654243461643
3,has_bill_shape::needle,has_bill_shape,True,5670,149,5521,0.6237300631300955,0.29915664819702975,0.03295936214982167,0.6656635251523035,-0.32457341493306574
4,has_bill_shape::hooked_seabird,has_bill_shape,True,5670,373,5297,0.5546435524756331,0.4979746966149941,0.05554409501401174,0.5717451448860806,-0.05666885586063902
5,has_bill_shape::spatulate,has_bill_shape,True,5670,224,5446,0.5473154092203231,0.3645924361330204,0.07052330455511353,0.5505709115146549,-0.18272297308730268
6,has_bill_shape::all-purpose,has_bill_shape,True,5670,2337,3333,0.6847496585432435,0.5546507751384253,0.38559901802581914,0.7195781804200603,-0.13009888340481823
7,has_bill_shape::cone,has_bill_shape,True,5670,1468,4202,0.6742861708349966,0.2998789231501126,0.2490906949355743,0.7258423794629338,-0.37440724768488404
8,has_bill_shape::specialized,has_bill_shape,True,5670,119,5551,0.31523132049988367,0.14554235551146727,0.022397908069992208,0.425046032978008,-0.1696889649884164
9,has_wing_color::blue,has_wing_color,True,5349,296,5053,0.6212294445241662,0.47867616470216506,0.0326705537848993,0.640475023104762,-0.1425532798220011
10,has_wing_color::brown,has_wing_color,True,5349,1557,3792,0.668480710060124,0.5851692488818182,0.2847444712138877,0.6674507450125408,-0.08331146117830579
11,has_wing_color::iridescent,has_wing_color,True,5349,112,5237,0.09335357728764701,0.08769928855237595,0.019619670152673678,0.11002349205902681,-0.00565428873527106
12,has_wing_color::purple,has_wing_color,True,5349,26,5323,0.016146923363858905,0.007569236496096611,0.006499554884389423,0.011723879853623762,-0.008577686867762294
13,has_wing_color::rufous,has_wing_color,True,5349,69,5280,0.1588263083395737,0.06916556877515168,0.013547512723589778,0.11217406119331522,-0.08966073956442203
14,has_wing_color::grey,has_wing_color,True,5349,1768,3581,0.5739965131279454,0.5242832863344963,0.4073826826704507,0.5927133449693637,-0.04971322679344914
15,has_wing_color::yellow,has_wing_color,True,5349,546,4803,0.5069315573004672,0.4454524730725956,0.0785244997302066,0.5248976579242011,-0.06147908422787163
16,has_wing_color::olive,has_wing_color,True,5349,210,5139,0.2699279631122651,0.17081234298623682,0.05387427359784065,0.27404189198592377,-0.09911562012602826
17,has_wing_color::green,has_wing_color,True,5349,95,5254,0.26732461944875735,0.12053113016367711,0.014575246330186609,0.2346472835709789,-0.14679348928508024
